outcome,n,min,median,max,skewness,log_flag
trigly_w6.5,1144,0.346700012683868,1.04699999094009,3.30900001525879,1.38544882377909,TRUE
waist2height_w6.5,1811,0.314917087554932,0.418010711669922,0.634308516979218,1.23243733968952,TRUE
waistcm_w6.5,1810,49.7999992370606,64.3000030517578,97.0999984741211,1.07399197093295,TRUE
glycoprotein_w6.5,1145,0.735000014305115,0.96399998664856,1.48000001907349,1.0305409635256,TRUE
ApoBA1_ratio_w6.5,1148,0.286091529435197,0.462994739821159,0.938738776472382,0.958304964615406,TRUE
glucose_w6.5,1147,3.32500004768372,4.83500003814697,7.32399988174439,0.917194714179946,TRUE
bodyfat_w6.5,1812,7.07317113876343,19.8973007202148,49.8161811828613,0.785719672039134,FALSE
cholestnonhdl_w6.5,1151,0.1887,0.9456,1.965,0.538444175807075,FALSE
pulsepressamp_w6.5,1612,0.673273086547852,1.3772149682045,2.50023007392883,0.471653146248589,FALSE
cholesttotal_w6.5,1150,1.63800001144409,4.03900003433228,6.37799978256226,0.324627569189697,FALSE
cholesttotalhdl_w6.5,1152,0.583199977874756,1.40249997377396,2.39499998092651,0.24116640937342,FALSE
bpsysamp_w6.5,1694,4.33333301544189,15.3333301544189,26,0.132979044346035,FALSE
vo2_w6.5,1227,19.8019790649414,47.8170509338379,69.9543762207031,-0.0143715334430438,FALSE
phospholipids_w6.5,1153,0,0.4104,0.7992,-0.0159788464161389,FALSE
