Outcome,Term,Coef,SE,t,p,type
cholesttotalhdl_w6.5,bad_diet,"-0.01 [-0.08, 0.07]",0.04,-0.16,0.87,unadjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.06 [-0.08, -0.04]",0.01,-5.91,< 0.001,unadjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.02]",0.01,1.28,0.20,unadjusted
cholesttotalhdl_w6.5,(Intercept),"1.46 [1.34, 1.58]",0.06,24.21,< 0.001,adjusted
cholesttotalhdl_w6.5,st_totalz_w3,"0.01 [-0.02, 0.03]",0.01,0.5,0.62,adjusted
cholesttotalhdl_w6.5,female,"0.03 [-0.02, 0.07]",0.02,1.08,0.28,adjusted
cholesttotalhdl_w6.5,indig,"-0.13 [-0.36, 0.11]",0.12,-1.07,0.28,adjusted
cholesttotalhdl_w6.5,ses_w6,"0.02 [0, 0.04]",0.01,1.56,0.12,adjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.08, 0.08]",0.04,0.02,0.98,adjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.03]",0.01,-4.28,< 0.001,adjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.03]",0.01,1.34,0.18,adjusted
cholesttotalhdl_w6.5,accmvpa_w6.5_scaled,"0.05 [0.02, 0.07]",0.01,3.43,< 0.001,adjusted
cholesttotalhdl_w6.5,accsed_w6.5_scaled,"-0.01 [-0.03, 0.02]",0.01,-0.68,0.50,adjusted
cholestnonhdl_w6.5,(Intercept),"1.04 [0.94, 1.14]",0.05,20.23,< 0.001,unadjusted
cholestnonhdl_w6.5,st_totalz_w3,"-0.01 [-0.03, 0.01]",0.01,-0.8,0.42,unadjusted
cholestnonhdl_w6.5,female,"0.07 [0.03, 0.11]",0.02,3.65,< 0.001,unadjusted
cholestnonhdl_w6.5,indig,"-0.03 [-0.23, 0.16]",0.1,-0.32,0.75,unadjusted
cholestnonhdl_w6.5,ses_w6,"-0.01 [-0.03, 0.01]",0.01,-0.89,0.37,unadjusted
cholestnonhdl_w6.5,bad_diet,"-0.03 [-0.1, 0.04]",0.04,-0.81,0.42,unadjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.04, 0]",0.01,-1.92,0.055,unadjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.01 [-0.02, 0.01]",0.01,-1.11,0.27,unadjusted
cholestnonhdl_w6.5,(Intercept),"1.08 [0.97, 1.2]",0.06,17.91,< 0.001,adjusted
cholestnonhdl_w6.5,st_totalz_w3,"-0.01 [-0.03, 0.01]",0.01,-0.7,0.49,adjusted
cholestnonhdl_w6.5,female,"0.06 [0.01, 0.11]",0.02,2.57,0.010,adjusted
cholestnonhdl_w6.5,indig,"-0.09 [-0.33, 0.14]",0.12,-0.79,0.43,adjusted
cholestnonhdl_w6.5,ses_w6,"-0.02 [-0.04, 0]",0.01,-1.58,0.11,adjusted
cholestnonhdl_w6.5,bad_diet,"0.01 [-0.07, 0.09]",0.04,0.27,0.79,adjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.06, -0.01]",0.01,-2.97,0.003,adjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.02 [-0.03, 0]",0.01,-1.98,0.048,adjusted
cholestnonhdl_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.07, -0.01]",0.01,-3.08,0.002,adjusted
cholestnonhdl_w6.5,accsed_w6.5_scaled,"0.01 [-0.02, 0.03]",0.01,0.61,0.54,adjusted
glucose_w6.5,(Intercept),"5.11 [4.93, 5.29]",0.09,56.82,< 0.001,unadjusted
glucose_w6.5,st_totalz_w3,"-0.03 [-0.06, 0]",0.02,-1.76,0.079,unadjusted
glucose_w6.5,female,"-0.03 [-0.1, 0.03]",0.03,-1.05,0.29,unadjusted
glucose_w6.5,indig,"-0.02 [-0.36, 0.32]",0.17,-0.1,0.92,unadjusted
glucose_w6.5,ses_w6,"-0.01 [-0.04, 0.02]",0.02,-0.62,0.53,unadjusted
glucose_w6.5,bad_diet,"0.08 [-0.05, 0.21]",0.06,1.24,0.22,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.02]",0.02,-0.76,0.45,unadjusted
glucose_w6.5,fastingtime_w6.5,"-0.07 [-0.09, -0.04]",0.01,-5.04,< 0.001,unadjusted
glucose_w6.5,(Intercept),"5.1 [4.89, 5.32]",0.11,46.5,< 0.001,adjusted
glucose_w6.5,st_totalz_w3,"-0.02 [-0.06, 0.02]",0.02,-1.13,0.26,adjusted
glucose_w6.5,female,"0 [-0.08, 0.09]",0.04,0.03,0.98,adjusted
glucose_w6.5,indig,"-0.02 [-0.44, 0.39]",0.21,-0.12,0.91,adjusted
glucose_w6.5,ses_w6,"0 [-0.04, 0.04]",0.02,0.13,0.90,adjusted
glucose_w6.5,bad_diet,"0.05 [-0.1, 0.2]",0.08,0.6,0.55,adjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.05, 0.03]",0.02,-0.52,0.61,adjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.02,-4.02,< 0.001,adjusted
glucose_w6.5,accmvpa_w6.5_scaled,"0.03 [-0.02, 0.07]",0.02,1.06,0.29,adjusted
glucose_w6.5,accsed_w6.5_scaled,"0.01 [-0.04, 0.05]",0.02,0.24,0.81,adjusted
