Outcome,Term,Coef,SE,t,p,type
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.02, 0]",0.01,-2.42,0.016,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.02,0.31,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.49,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,0.37,0.71,adjusted
phospholipids_w6.5,(Intercept),"0.44 [0.39, 0.49]",0.02,18.74,< 0.001,unadjusted
phospholipids_w6.5,st_earlyz,"-0.01 [-0.02, 0]",0.01,-1.74,0.082,unadjusted
phospholipids_w6.5,female,"-0.01 [-0.02, 0.01]",0.01,-0.58,0.56,unadjusted
phospholipids_w6.5,indig,"0 [-0.09, 0.09]",0.05,0.05,0.96,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0,1.85,0.064,unadjusted
phospholipids_w6.5,bad_diet,"0 [-0.03, 0.03]",0.02,0.02,0.98,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.64,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.27,0.20,unadjusted
phospholipids_w6.5,(Intercept),"0.42 [0.37, 0.48]",0.03,15.36,< 0.001,adjusted
phospholipids_w6.5,st_earlyz,"0 [-0.02, 0.01]",0.01,-0.6,0.55,adjusted
phospholipids_w6.5,female,"0.01 [-0.01, 0.03]",0.01,0.72,0.47,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.16, 0.05]",0.05,-0.95,0.34,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.7,0.090,adjusted
phospholipids_w6.5,bad_diet,"0 [-0.04, 0.04]",0.02,0.05,0.96,adjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0.01,-3.13,0.002,adjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,0.96,0.34,adjusted
phospholipids_w6.5,accmvpa_w6.5_scaled,"0.02 [0.01, 0.03]",0.01,3.18,0.002,adjusted
phospholipids_w6.5,accsed_w6.5_scaled,"-0.01 [-0.02, 0.01]",0.01,-0.9,0.37,adjusted
vo2_w6.5,(Intercept),"55.47 [52.74, 58.2]",1.39,39.87,< 0.001,unadjusted
vo2_w6.5,st_earlyz,"-1.83 [-2.56, -1.11]",0.37,-4.98,< 0.001,unadjusted
vo2_w6.5,female,"-4.82 [-6.05, -3.59]",0.63,-7.71,< 0.001,unadjusted
vo2_w6.5,indig,"-0.37 [-5.41, 4.68]",2.57,-0.14,0.89,unadjusted
vo2_w6.5,ses_w6,"0.52 [-0.07, 1.11]",0.3,1.72,0.085,unadjusted
vo2_w6.5,bad_diet,"-2.49 [-4.9, -0.07]",1.23,-2.02,0.044,unadjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-1.33 [-1.94, -0.72]",0.31,-4.28,< 0.001,unadjusted
vo2_w6.5,(Intercept),"53.49 [50.4, 56.59]",1.58,33.96,< 0.001,adjusted
vo2_w6.5,st_earlyz,"-1.55 [-2.38, -0.73]",0.42,-3.71,< 0.001,adjusted
vo2_w6.5,female,"-2.92 [-4.39, -1.46]",0.75,-3.91,< 0.001,adjusted
vo2_w6.5,indig,"-3.61 [-9.67, 2.46]",3.09,-1.17,0.24,adjusted
vo2_w6.5,ses_w6,"0.52 [-0.15, 1.18]",0.34,1.52,0.13,adjusted
vo2_w6.5,bad_diet,"-2.91 [-5.59, -0.24]",1.36,-2.14,0.033,adjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-0.74 [-1.46, -0.02]",0.37,-2.02,0.043,adjusted
vo2_w6.5,accmvpa_w6.5_scaled,"3.24 [2.41, 4.07]",0.42,7.7,< 0.001,adjusted
vo2_w6.5,accsed_w6.5_scaled,"0.19 [-0.6, 0.98]",0.4,0.47,0.64,adjusted
waistcm_w6.5,(Intercept),"61.93 [59.96, 63.89]",1,61.97,< 0.001,unadjusted
waistcm_w6.5,st_earlyz,"0.63 [0.15, 1.11]",0.25,2.57,0.010,unadjusted
waistcm_w6.5,female,"-3.38 [-4.21, -2.55]",0.42,-8,< 0.001,unadjusted
waistcm_w6.5,indig,"-0.78 [-3.65, 2.09]",1.46,-0.53,0.60,unadjusted
waistcm_w6.5,ses_w6,"-0.75 [-1.14, -0.36]",0.2,-3.79,< 0.001,unadjusted
waistcm_w6.5,bad_diet,"0.4 [-1.36, 2.15]",0.9,0.44,0.66,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"2.3 [1.89, 2.71]",0.21,11.04,< 0.001,unadjusted
waistcm_w6.5,(Intercept),"62.7 [60.38, 65.01]",1.18,53.2,< 0.001,adjusted
waistcm_w6.5,st_earlyz,"0.68 [0.09, 1.26]",0.3,2.28,0.023,adjusted
waistcm_w6.5,female,"-4.32 [-5.38, -3.27]",0.54,-8.06,< 0.001,adjusted
waistcm_w6.5,indig,"0.22 [-3.69, 4.14]",1.99,0.11,0.91,adjusted
waistcm_w6.5,ses_w6,"-0.76 [-1.23, -0.29]",0.24,-3.2,0.001,adjusted
waistcm_w6.5,bad_diet,"1.06 [-0.96, 3.07]",1.03,1.03,0.30,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.85 [1.35, 2.36]",0.26,7.19,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.55 [-2.15, -0.95]",0.3,-5.08,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.25 [-0.83, 0.32]",0.29,-0.87,0.39,adjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,68.93,< 0.001,unadjusted
waist2height_w6.5,st_earlyz,"0.01 [0, 0.01]",0,3.76,< 0.001,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.66,< 0.001,unadjusted
waist2height_w6.5,indig,"-0.01 [-0.03, 0.01]",0.01,-0.81,0.42,unadjusted
waist2height_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-4.27,< 0.001,unadjusted
waist2height_w6.5,bad_diet,"0.01 [-0.01, 0.02]",0.01,0.93,0.35,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,1.86,0.063,unadjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,59.45,< 0.001,adjusted
waist2height_w6.5,st_earlyz,"0.01 [0, 0.01]",0,3.81,< 0.001,adjusted
waist2height_w6.5,female,"-0.02 [-0.02, -0.01]",0,-4.68,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.21,0.83,adjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-3.31,< 0.001,adjusted
waist2height_w6.5,bad_diet,"0.01 [0, 0.02]",0.01,1.5,0.13,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,0.04,0.97,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.7,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [0, 0]",0,-0.71,0.48,adjusted
bmiz_w6.5,(Intercept),"-0.31 [-0.55, -0.06]",0.13,-2.43,0.015,unadjusted
bmiz_w6.5,st_earlyz,"0.09 [0.03, 0.15]",0.03,2.86,0.004,unadjusted
bmiz_w6.5,female,"-0.18 [-0.29, -0.08]",0.05,-3.44,< 0.001,unadjusted
bmiz_w6.5,indig,"0 [-0.36, 0.35]",0.18,-0.01,1.00,unadjusted
bmiz_w6.5,ses_w6,"-0.07 [-0.12, -0.02]",0.02,-2.72,0.007,unadjusted
bmiz_w6.5,bad_diet,"0.08 [-0.14, 0.3]",0.11,0.72,0.47,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.27 [0.22, 0.32]",0.03,10.28,< 0.001,unadjusted
bmiz_w6.5,(Intercept),"-0.25 [-0.55, 0.04]",0.15,-1.69,0.091,adjusted
bmiz_w6.5,st_earlyz,"0.11 [0.03, 0.18]",0.04,2.82,0.005,adjusted
bmiz_w6.5,female,"-0.27 [-0.41, -0.14]",0.07,-4.02,< 0.001,adjusted
bmiz_w6.5,indig,"-0.03 [-0.53, 0.47]",0.25,-0.12,0.91,adjusted
bmiz_w6.5,ses_w6,"-0.06 [-0.12, 0]",0.03,-2.03,0.043,adjusted
bmiz_w6.5,bad_diet,"0.17 [-0.09, 0.42]",0.13,1.26,0.21,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.23 [0.16, 0.29]",0.03,6.91,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.17 [-0.24, -0.09]",0.04,-4.35,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.06 [-0.13, 0.01]",0.04,-1.56,0.12,adjusted
bodyfat_w6.5,(Intercept),"17.84 [15.73, 19.95]",1.08,16.56,< 0.001,unadjusted
bodyfat_w6.5,st_earlyz,"1.18 [0.66, 1.7]",0.26,4.46,< 0.001,unadjusted
bodyfat_w6.5,female,"2.77 [1.88, 3.66]",0.45,6.1,< 0.001,unadjusted
bodyfat_w6.5,indig,"-0.1 [-3.15, 2.94]",1.55,-0.07,0.95,unadjusted
bodyfat_w6.5,ses_w6,"-0.92 [-1.34, -0.5]",0.21,-4.31,< 0.001,unadjusted
bodyfat_w6.5,bad_diet,"1.26 [-0.64, 3.15]",0.97,1.3,0.19,unadjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"0.67 [0.23, 1.11]",0.22,2.98,0.003,unadjusted
bodyfat_w6.5,(Intercept),"19.52 [17.08, 21.95]",1.24,15.73,< 0.001,adjusted
bodyfat_w6.5,st_earlyz,"1.33 [0.72, 1.95]",0.31,4.26,< 0.001,adjusted
bodyfat_w6.5,female,"1.69 [0.58, 2.8]",0.56,2.99,0.003,adjusted
bodyfat_w6.5,indig,"0.07 [-4.05, 4.19]",2.1,0.03,0.97,adjusted
bodyfat_w6.5,ses_w6,"-0.81 [-1.3, -0.31]",0.25,-3.21,0.001,adjusted
bodyfat_w6.5,bad_diet,"1.74 [-0.38, 3.86]",1.08,1.61,0.11,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.56, 0.5]",0.27,-0.12,0.91,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.43 [-3.06, -1.79]",0.32,-7.55,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.42 [-1.02, 0.18]",0.31,-1.37,0.17,adjusted
bpsysamp_w6.5,(Intercept),"15.22 [14.42, 16.02]",0.41,37.17,< 0.001,unadjusted
bpsysamp_w6.5,st_earlyz,"-0.08 [-0.27, 0.11]",0.1,-0.83,0.41,unadjusted
bpsysamp_w6.5,female,"-0.95 [-1.28, -0.62]",0.17,-5.61,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.21 [-1.32, 0.9]",0.57,-0.37,0.71,unadjusted
bpsysamp_w6.5,ses_w6,"-0.05 [-0.21, 0.1]",0.08,-0.67,0.50,unadjusted
bpsysamp_w6.5,bad_diet,"-0.24 [-0.96, 0.48]",0.37,-0.65,0.52,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.39 [0.23, 0.55]",0.08,4.67,< 0.001,unadjusted
bpsysamp_w6.5,(Intercept),"14.76 [13.81, 15.7]",0.48,30.72,< 0.001,adjusted
bpsysamp_w6.5,st_earlyz,"-0.09 [-0.32, 0.15]",0.12,-0.72,0.47,adjusted
bpsysamp_w6.5,female,"-0.71 [-1.14, -0.29]",0.22,-3.3,0.001,adjusted
bpsysamp_w6.5,indig,"-0.24 [-1.82, 1.34]",0.81,-0.3,0.76,adjusted
bpsysamp_w6.5,ses_w6,"-0.05 [-0.24, 0.14]",0.1,-0.54,0.59,adjusted
bpsysamp_w6.5,bad_diet,"0.23 [-0.59, 1.05]",0.42,0.54,0.59,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.38 [0.17, 0.58]",0.1,3.63,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.28 [0.03, 0.52]",0.12,2.23,0.026,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"0.01 [-0.23, 0.24]",0.12,0.05,0.96,adjusted
pulsepressamp_w6.5,(Intercept),"1.35 [1.27, 1.43]",0.04,33.59,< 0.001,unadjusted
pulsepressamp_w6.5,st_earlyz,"-0.01 [-0.03, 0.01]",0.01,-1.27,0.21,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.04, 0.02]",0.02,-0.62,0.54,unadjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.15, 0.07]",0.06,-0.66,0.51,unadjusted
pulsepressamp_w6.5,ses_w6,"0.01 [0, 0.03]",0.01,1.71,0.088,unadjusted
pulsepressamp_w6.5,bad_diet,"-0.01 [-0.08, 0.06]",0.04,-0.15,0.88,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.68,0.007,unadjusted
pulsepressamp_w6.5,(Intercept),"1.25 [1.16, 1.35]",0.05,26.02,< 0.001,adjusted
pulsepressamp_w6.5,st_earlyz,"-0.01 [-0.03, 0.02]",0.01,-0.54,0.59,adjusted
