Outcome,Term,Coef,SE,t,p,type
cholesttotalhdl_w6.5,female,"-0.01 [-0.05, 0.03]",0.02,-0.46,0.65,unadjusted
cholesttotalhdl_w6.5,indig,"-0.01 [-0.21, 0.18]",0.1,-0.14,0.89,unadjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,1.31,0.19,unadjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.08, 0.07]",0.04,-0.08,0.93,unadjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.06 [-0.07, -0.04]",0.01,-5.89,< 0.001,unadjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.02]",0.01,1.22,0.22,unadjusted
cholesttotalhdl_w6.5,(Intercept),"1.46 [1.34, 1.58]",0.06,24.23,< 0.001,adjusted
cholesttotalhdl_w6.5,st_earlyz,"0 [-0.03, 0.03]",0.01,-0.05,0.96,adjusted
cholesttotalhdl_w6.5,female,"0.03 [-0.02, 0.07]",0.02,1.07,0.29,adjusted
cholesttotalhdl_w6.5,indig,"-0.12 [-0.35, 0.11]",0.12,-1.03,0.30,adjusted
cholesttotalhdl_w6.5,ses_w6,"0.02 [-0.01, 0.04]",0.01,1.47,0.14,adjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.08, 0.08]",0.04,-0.01,0.99,adjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.03]",0.01,-4.24,< 0.001,adjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.03]",0.01,1.22,0.22,adjusted
cholesttotalhdl_w6.5,accmvpa_w6.5_scaled,"0.05 [0.02, 0.07]",0.01,3.47,< 0.001,adjusted
cholesttotalhdl_w6.5,accsed_w6.5_scaled,"-0.01 [-0.03, 0.02]",0.01,-0.6,0.55,adjusted
cholestnonhdl_w6.5,(Intercept),"1.04 [0.94, 1.14]",0.05,20.3,< 0.001,unadjusted
cholestnonhdl_w6.5,st_earlyz,"-0.01 [-0.03, 0.01]",0.01,-0.99,0.32,unadjusted
cholestnonhdl_w6.5,female,"0.07 [0.03, 0.1]",0.02,3.53,< 0.001,unadjusted
cholestnonhdl_w6.5,indig,"-0.03 [-0.23, 0.16]",0.1,-0.34,0.73,unadjusted
cholestnonhdl_w6.5,ses_w6,"-0.01 [-0.03, 0.01]",0.01,-1.13,0.26,unadjusted
cholestnonhdl_w6.5,bad_diet,"-0.02 [-0.09, 0.05]",0.04,-0.66,0.51,unadjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.04, 0]",0.01,-2.03,0.042,unadjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.01 [-0.02, 0.01]",0.01,-1.02,0.31,unadjusted
cholestnonhdl_w6.5,(Intercept),"1.08 [0.96, 1.2]",0.06,17.87,< 0.001,adjusted
cholestnonhdl_w6.5,st_earlyz,"-0.01 [-0.04, 0.01]",0.01,-0.92,0.36,adjusted
cholestnonhdl_w6.5,female,"0.06 [0.01, 0.1]",0.02,2.44,0.015,adjusted
cholestnonhdl_w6.5,indig,"-0.1 [-0.33, 0.13]",0.12,-0.83,0.40,adjusted
cholestnonhdl_w6.5,ses_w6,"-0.02 [-0.04, 0]",0.01,-1.7,0.089,adjusted
cholestnonhdl_w6.5,bad_diet,"0.01 [-0.07, 0.09]",0.04,0.29,0.77,adjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.06, -0.01]",0.01,-2.97,0.003,adjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.02 [-0.03, 0]",0.01,-1.83,0.068,adjusted
cholestnonhdl_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.07, -0.01]",0.01,-3.05,0.002,adjusted
cholestnonhdl_w6.5,accsed_w6.5_scaled,"0.01 [-0.02, 0.04]",0.01,0.75,0.45,adjusted
glucose_w6.5,(Intercept),"5.09 [4.92, 5.27]",0.09,56.93,< 0.001,unadjusted
glucose_w6.5,st_earlyz,"-0.03 [-0.07, 0.01]",0.02,-1.46,0.14,unadjusted
glucose_w6.5,female,"-0.04 [-0.11, 0.02]",0.03,-1.31,0.19,unadjusted
glucose_w6.5,indig,"-0.03 [-0.37, 0.31]",0.17,-0.17,0.87,unadjusted
glucose_w6.5,ses_w6,"-0.01 [-0.04, 0.02]",0.02,-0.64,0.52,unadjusted
glucose_w6.5,bad_diet,"0.09 [-0.03, 0.22]",0.06,1.46,0.14,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.02]",0.02,-0.71,0.48,unadjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.04]",0.01,-4.95,< 0.001,unadjusted
glucose_w6.5,(Intercept),"5.1 [4.88, 5.31]",0.11,46.47,< 0.001,adjusted
glucose_w6.5,st_earlyz,"-0.02 [-0.07, 0.03]",0.02,-0.82,0.41,adjusted
glucose_w6.5,female,"0 [-0.09, 0.08]",0.04,-0.07,0.94,adjusted
glucose_w6.5,indig,"-0.04 [-0.46, 0.37]",0.21,-0.2,0.84,adjusted
glucose_w6.5,ses_w6,"0 [-0.04, 0.04]",0.02,0.19,0.85,adjusted
glucose_w6.5,bad_diet,"0.05 [-0.1, 0.2]",0.08,0.63,0.53,adjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.05, 0.03]",0.02,-0.44,0.66,adjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.02,-3.95,< 0.001,adjusted
glucose_w6.5,accmvpa_w6.5_scaled,"0.03 [-0.02, 0.07]",0.02,1.15,0.25,adjusted
glucose_w6.5,accsed_w6.5_scaled,"0.01 [-0.04, 0.05]",0.02,0.29,0.77,adjusted
