Outcome,Term,Coef,SE,t,p,type
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.07, -0.01]",0.02,-2.64,0.009,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"-0.07 [-0.12, -0.02]",0.03,-2.96,0.003,adjusted
trigly_w6.5,accsed_w6.5_scaled,"-0.02 [-0.07, 0.03]",0.03,-0.91,0.36,adjusted
cholesttotal_w6.5,(Intercept),"4.37 [4.11, 4.63]",0.13,33.13,< 0.001,unadjusted
cholesttotal_w6.5,blup_intercept,"-0.05 [-0.13, 0.04]",0.04,-1.11,0.27,unadjusted
cholesttotal_w6.5,blup_slope,"-0.12 [-0.43, 0.18]",0.16,-0.78,0.44,unadjusted
cholesttotal_w6.5,female,"0.12 [0.03, 0.21]",0.05,2.5,0.013,unadjusted
cholesttotal_w6.5,indig,"0.07 [-0.38, 0.53]",0.23,0.32,0.75,unadjusted
cholesttotal_w6.5,ses_w6,"-0.03 [-0.07, 0.02]",0.02,-1.1,0.27,unadjusted
cholesttotal_w6.5,bad_diet,"-0.08 [-0.25, 0.1]",0.09,-0.87,0.39,unadjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.12 [-0.16, -0.07]",0.02,-5.11,< 0.001,unadjusted
cholesttotal_w6.5,fastingtime_w6.5,"0 [-0.03, 0.04]",0.02,0.23,0.82,unadjusted
cholesttotal_w6.5,(Intercept),"4.43 [4.12, 4.73]",0.16,28.31,< 0.001,adjusted
cholesttotal_w6.5,blup_intercept,"-0.03 [-0.14, 0.07]",0.05,-0.62,0.53,adjusted
cholesttotal_w6.5,blup_slope,"-0.14 [-0.52, 0.25]",0.2,-0.69,0.49,adjusted
cholesttotal_w6.5,female,"0.12 [0, 0.24]",0.06,1.98,0.048,adjusted
cholesttotal_w6.5,indig,"-0.21 [-0.79, 0.37]",0.3,-0.72,0.47,adjusted
cholesttotal_w6.5,ses_w6,"-0.04 [-0.1, 0.02]",0.03,-1.43,0.15,adjusted
cholesttotal_w6.5,bad_diet,"0.02 [-0.19, 0.22]",0.1,0.15,0.88,adjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.14 [-0.19, -0.08]",0.03,-4.8,< 0.001,adjusted
cholesttotal_w6.5,fastingtime_w6.5,"-0.02 [-0.06, 0.02]",0.02,-0.86,0.39,adjusted
cholesttotal_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.11, 0.02]",0.03,-1.44,0.15,adjusted
cholesttotal_w6.5,accsed_w6.5_scaled,"0.01 [-0.06, 0.07]",0.03,0.26,0.80,adjusted
cholesttotalhdl_w6.5,(Intercept),"1.52 [1.42, 1.63]",0.05,27.99,< 0.001,unadjusted
cholesttotalhdl_w6.5,blup_intercept,"-0.02 [-0.05, 0.02]",0.02,-1.11,0.27,unadjusted
cholesttotalhdl_w6.5,blup_slope,"-0.08 [-0.2, 0.05]",0.06,-1.21,0.23,unadjusted
cholesttotalhdl_w6.5,female,"-0.01 [-0.05, 0.03]",0.02,-0.44,0.66,unadjusted
cholesttotalhdl_w6.5,indig,"-0.02 [-0.21, 0.16]",0.1,-0.24,0.81,unadjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,1.01,0.31,unadjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.07, 0.07]",0.04,0,1.00,unadjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.06 [-0.07, -0.04]",0.01,-5.81,< 0.001,unadjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.02]",0.01,1.17,0.24,unadjusted
cholesttotalhdl_w6.5,(Intercept),"1.47 [1.35, 1.59]",0.06,23.53,< 0.001,adjusted
cholesttotalhdl_w6.5,blup_intercept,"0 [-0.04, 0.04]",0.02,0.09,0.93,adjusted
cholesttotalhdl_w6.5,blup_slope,"-0.06 [-0.21, 0.1]",0.08,-0.72,0.47,adjusted
cholesttotalhdl_w6.5,female,"0.03 [-0.02, 0.07]",0.02,1.09,0.28,adjusted
cholesttotalhdl_w6.5,indig,"-0.12 [-0.35, 0.11]",0.12,-1.04,0.30,adjusted
cholesttotalhdl_w6.5,ses_w6,"0.02 [-0.01, 0.04]",0.01,1.37,0.17,adjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.08, 0.08]",0.04,0.05,0.96,adjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.03]",0.01,-4.21,< 0.001,adjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.03]",0.01,1.23,0.22,adjusted
cholesttotalhdl_w6.5,accmvpa_w6.5_scaled,"0.05 [0.02, 0.07]",0.01,3.48,< 0.001,adjusted
cholesttotalhdl_w6.5,accsed_w6.5_scaled,"-0.01 [-0.03, 0.02]",0.01,-0.57,0.57,adjusted
cholestnonhdl_w6.5,(Intercept),"1.04 [0.93, 1.14]",0.05,19.46,< 0.001,unadjusted
cholestnonhdl_w6.5,blup_intercept,"-0.02 [-0.05, 0.02]",0.02,-1.02,0.31,unadjusted
cholestnonhdl_w6.5,blup_slope,"-0.03 [-0.15, 0.09]",0.06,-0.48,0.63,unadjusted
cholestnonhdl_w6.5,female,"0.07 [0.03, 0.1]",0.02,3.48,< 0.001,unadjusted
cholestnonhdl_w6.5,indig,"0.01 [-0.17, 0.19]",0.09,0.11,0.92,unadjusted
cholestnonhdl_w6.5,ses_w6,"-0.01 [-0.03, 0.01]",0.01,-1.18,0.24,unadjusted
cholestnonhdl_w6.5,bad_diet,"-0.02 [-0.09, 0.05]",0.04,-0.63,0.53,unadjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.04, 0]",0.01,-2.03,0.042,unadjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.01 [-0.02, 0.01]",0.01,-1,0.32,unadjusted
cholestnonhdl_w6.5,(Intercept),"1.08 [0.96, 1.2]",0.06,17.28,< 0.001,adjusted
cholestnonhdl_w6.5,blup_intercept,"-0.02 [-0.06, 0.02]",0.02,-0.99,0.32,adjusted
cholestnonhdl_w6.5,blup_slope,"-0.04 [-0.19, 0.12]",0.08,-0.49,0.63,adjusted
cholestnonhdl_w6.5,female,"0.06 [0.01, 0.1]",0.02,2.35,0.019,adjusted
cholestnonhdl_w6.5,indig,"-0.1 [-0.33, 0.14]",0.12,-0.82,0.41,adjusted
cholestnonhdl_w6.5,ses_w6,"-0.02 [-0.04, 0]",0.01,-1.77,0.077,adjusted
cholestnonhdl_w6.5,bad_diet,"0.01 [-0.07, 0.1]",0.04,0.35,0.73,adjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.06, -0.01]",0.01,-2.92,0.004,adjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.02 [-0.03, 0]",0.01,-1.8,0.072,adjusted
cholestnonhdl_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.07, -0.01]",0.01,-3.06,0.002,adjusted
cholestnonhdl_w6.5,accsed_w6.5_scaled,"0.01 [-0.02, 0.04]",0.01,0.77,0.44,adjusted
glucose_w6.5,(Intercept),"5.08 [4.9, 5.27]",0.09,54.4,< 0.001,unadjusted
glucose_w6.5,blup_intercept,"-0.05 [-0.11, 0.01]",0.03,-1.61,0.11,unadjusted
glucose_w6.5,blup_slope,"-0.01 [-0.23, 0.2]",0.11,-0.13,0.90,unadjusted
glucose_w6.5,female,"-0.05 [-0.11, 0.02]",0.03,-1.37,0.17,unadjusted
glucose_w6.5,indig,"-0.08 [-0.4, 0.24]",0.16,-0.49,0.62,unadjusted
glucose_w6.5,ses_w6,"-0.01 [-0.04, 0.02]",0.02,-0.74,0.46,unadjusted
glucose_w6.5,bad_diet,"0.1 [-0.03, 0.22]",0.06,1.49,0.14,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.02]",0.02,-0.64,0.52,unadjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.04]",0.01,-4.97,< 0.001,unadjusted
glucose_w6.5,(Intercept),"5.07 [4.85, 5.29]",0.11,44.71,< 0.001,adjusted
glucose_w6.5,blup_intercept,"-0.03 [-0.11, 0.04]",0.04,-0.83,0.41,adjusted
glucose_w6.5,blup_slope,"0.1 [-0.18, 0.37]",0.14,0.69,0.49,adjusted
glucose_w6.5,female,"0 [-0.09, 0.08]",0.04,-0.04,0.97,adjusted
glucose_w6.5,indig,"-0.04 [-0.45, 0.38]",0.21,-0.17,0.86,adjusted
glucose_w6.5,ses_w6,"0.01 [-0.04, 0.05]",0.02,0.24,0.81,adjusted
glucose_w6.5,bad_diet,"0.04 [-0.11, 0.2]",0.08,0.57,0.57,adjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.05, 0.03]",0.02,-0.46,0.65,adjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.02,-3.98,< 0.001,adjusted
glucose_w6.5,accmvpa_w6.5_scaled,"0.03 [-0.02, 0.07]",0.02,1.14,0.25,adjusted
glucose_w6.5,accsed_w6.5_scaled,"0.01 [-0.04, 0.05]",0.02,0.27,0.79,adjusted
