Outcome,Term,Coef,SE,z,p,type
glycoprotein_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.02, 0]",0,-2.42,0.016,adjusted
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.07,0.29,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.45,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,0.51,0.61,adjusted
phospholipids_w6.5,st_intercept,"-0.01 [-0.03, 0.01]",0.01,-1.38,0.17,unadjusted
phospholipids_w6.5,st_slope,"-0.06 [-0.12, -0.01]",0.03,-2.14,0.033,unadjusted
phospholipids_w6.5,female,"-0.01 [-0.03, 0.01]",0.01,-0.86,0.39,unadjusted
phospholipids_w6.5,indig,"0 [-0.08, 0.08]",0.04,-0.02,0.98,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0,1.39,0.16,unadjusted
phospholipids_w6.5,bad_diet,"0 [-0.02, 0.03]",0.01,0.35,0.73,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.49,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.18,0.24,unadjusted
phospholipids_w6.5,st_intercept,"-0.01 [-0.03, 0.01]",0.01,-0.61,0.54,adjusted
phospholipids_w6.5,st_slope,"-0.05 [-0.14, 0.03]",0.04,-1.23,0.22,adjusted
phospholipids_w6.5,female,"0.01 [-0.02, 0.03]",0.01,0.56,0.58,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.16, 0.05]",0.05,-0.97,0.33,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.4,0.16,adjusted
phospholipids_w6.5,bad_diet,"0.01 [-0.02, 0.03]",0.01,0.43,0.67,adjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0.01,-3.08,0.002,adjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,0.99,0.32,adjusted
phospholipids_w6.5,accmvpa_w6.5_scaled,"0.02 [0.01, 0.03]",0.01,3.22,0.001,adjusted
phospholipids_w6.5,accsed_w6.5_scaled,"-0.01 [-0.02, 0.01]",0.01,-0.87,0.38,adjusted
vo2_w6.5,st_intercept,"-3.04 [-4.25, -1.84]",0.62,-4.94,< 0.001,unadjusted
vo2_w6.5,st_slope,"-5.7 [-9.62, -1.78]",2,-2.85,0.004,unadjusted
vo2_w6.5,female,"-5.26 [-6.51, -4.02]",0.63,-8.29,< 0.001,unadjusted
vo2_w6.5,indig,"-1 [-5.84, 3.84]",2.47,-0.4,0.69,unadjusted
vo2_w6.5,ses_w6,"0.18 [-0.45, 0.8]",0.32,0.55,0.58,unadjusted
vo2_w6.5,bad_diet,"-0.69 [-2.34, 0.96]",0.84,-0.81,0.42,unadjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-1.23 [-1.84, -0.62]",0.31,-3.97,< 0.001,unadjusted
vo2_w6.5,st_intercept,"-2.88 [-4.19, -1.56]",0.67,-4.29,< 0.001,adjusted
vo2_w6.5,st_slope,"-5.42 [-10.26, -0.58]",2.47,-2.2,0.028,adjusted
vo2_w6.5,female,"-3.31 [-4.79, -1.83]",0.76,-4.38,< 0.001,adjusted
vo2_w6.5,indig,"-3.27 [-9.28, 2.73]",3.06,-1.07,0.29,adjusted
vo2_w6.5,ses_w6,"0.11 [-0.59, 0.82]",0.36,0.32,0.75,adjusted
vo2_w6.5,bad_diet,"-0.84 [-2.64, 0.97]",0.92,-0.91,0.36,adjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-0.63 [-1.35, 0.08]",0.36,-1.73,0.083,adjusted
vo2_w6.5,accmvpa_w6.5_scaled,"3.31 [2.5, 4.13]",0.42,7.95,< 0.001,adjusted
vo2_w6.5,accsed_w6.5_scaled,"0.27 [-0.51, 1.05]",0.4,0.68,0.50,adjusted
waistcm_w6.5,st_intercept,"1.16 [0.35, 1.97]",0.41,2.8,0.005,unadjusted
waistcm_w6.5,st_slope,"3.55 [0.92, 6.18]",1.34,2.64,0.008,unadjusted
waistcm_w6.5,female,"-3.09 [-3.93, -2.25]",0.43,-7.21,< 0.001,unadjusted
waistcm_w6.5,indig,"-0.47 [-3.29, 2.35]",1.44,-0.33,0.74,unadjusted
waistcm_w6.5,ses_w6,"-0.6 [-1.02, -0.19]",0.21,-2.85,0.004,unadjusted
waistcm_w6.5,bad_diet,"-0.46 [-1.59, 0.67]",0.58,-0.79,0.43,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"2.26 [1.85, 2.67]",0.21,10.88,< 0.001,unadjusted
waistcm_w6.5,st_intercept,"1.47 [0.53, 2.41]",0.48,3.07,0.002,adjusted
waistcm_w6.5,st_slope,"2.04 [-1.34, 5.42]",1.73,1.18,0.24,adjusted
waistcm_w6.5,female,"-4.05 [-5.11, -2.98]",0.54,-7.44,< 0.001,adjusted
waistcm_w6.5,indig,"-0.09 [-4, 3.81]",1.99,-0.05,0.96,adjusted
waistcm_w6.5,ses_w6,"-0.54 [-1.04, -0.05]",0.25,-2.14,0.032,adjusted
waistcm_w6.5,bad_diet,"-0.26 [-1.58, 1.05]",0.67,-0.39,0.69,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.82 [1.31, 2.32]",0.26,7.07,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.56 [-2.15, -0.96]",0.3,-5.14,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.31 [-0.88, 0.26]",0.29,-1.08,0.28,adjusted
waist2height_w6.5,st_intercept,"0.01 [0, 0.01]",0,3.86,< 0.001,unadjusted
waist2height_w6.5,st_slope,"0.02 [0, 0.03]",0.01,2.07,0.038,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-3.93,< 0.001,unadjusted
waist2height_w6.5,indig,"-0.01 [-0.02, 0.01]",0.01,-0.67,0.50,unadjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-3.1,0.002,unadjusted
