Outcome,Term,Coef,SE,z,p,type
cholesttotal_w6.5,accsed_w6.5_scaled,"0.01 [-0.05, 0.07]",0.03,0.32,0.75,adjusted
cholesttotalhdl_w6.5,st_intercept,"-0.02 [-0.06, 0.02]",0.02,-0.93,0.35,unadjusted
cholesttotalhdl_w6.5,st_slope,"-0.11 [-0.23, 0.02]",0.06,-1.68,0.093,unadjusted
cholesttotalhdl_w6.5,female,"-0.01 [-0.05, 0.03]",0.02,-0.6,0.55,unadjusted
cholesttotalhdl_w6.5,indig,"-0.02 [-0.21, 0.16]",0.09,-0.24,0.81,unadjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,0.92,0.36,unadjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.05, 0.05]",0.03,0.06,0.95,unadjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.06 [-0.07, -0.04]",0.01,-5.79,< 0.001,unadjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.02]",0.01,1.13,0.26,unadjusted
cholesttotalhdl_w6.5,st_intercept,"0 [-0.05, 0.04]",0.02,-0.22,0.82,adjusted
cholesttotalhdl_w6.5,st_slope,"-0.1 [-0.29, 0.08]",0.09,-1.07,0.28,adjusted
cholesttotalhdl_w6.5,female,"0.02 [-0.02, 0.07]",0.02,0.96,0.34,adjusted
cholesttotalhdl_w6.5,indig,"-0.12 [-0.35, 0.11]",0.12,-1.06,0.29,adjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.04]",0.01,1.21,0.23,adjusted
cholesttotalhdl_w6.5,bad_diet,"0 [-0.05, 0.06]",0.03,0.15,0.88,adjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.03]",0.01,-4.2,< 0.001,adjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [-0.01, 0.03]",0.01,1.24,0.21,adjusted
cholesttotalhdl_w6.5,accmvpa_w6.5_scaled,"0.05 [0.02, 0.07]",0.01,3.52,< 0.001,adjusted
cholesttotalhdl_w6.5,accsed_w6.5_scaled,"-0.01 [-0.03, 0.02]",0.01,-0.51,0.61,adjusted
cholestnonhdl_w6.5,st_intercept,"-0.02 [-0.06, 0.01]",0.02,-1.32,0.19,unadjusted
cholestnonhdl_w6.5,st_slope,"-0.02 [-0.14, 0.1]",0.06,-0.35,0.73,unadjusted
cholestnonhdl_w6.5,female,"0.07 [0.03, 0.1]",0.02,3.4,< 0.001,unadjusted
cholestnonhdl_w6.5,indig,"0.01 [-0.17, 0.19]",0.09,0.12,0.90,unadjusted
cholestnonhdl_w6.5,ses_w6,"-0.02 [-0.03, 0]",0.01,-1.51,0.13,unadjusted
cholestnonhdl_w6.5,bad_diet,"-0.05 [-0.1, 0]",0.02,-1.86,0.062,unadjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.04, 0]",0.01,-2.02,0.043,unadjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.01 [-0.02, 0.01]",0.01,-1.07,0.28,unadjusted
cholestnonhdl_w6.5,st_intercept,"-0.03 [-0.07, 0.01]",0.02,-1.3,0.20,adjusted
cholestnonhdl_w6.5,st_slope,"-0.04 [-0.22, 0.14]",0.09,-0.44,0.66,adjusted
cholestnonhdl_w6.5,female,"0.05 [0, 0.1]",0.02,2.16,0.031,adjusted
cholestnonhdl_w6.5,indig,"-0.09 [-0.32, 0.14]",0.12,-0.74,0.46,adjusted
cholestnonhdl_w6.5,ses_w6,"-0.03 [-0.05, 0]",0.01,-2.08,0.037,adjusted
cholestnonhdl_w6.5,bad_diet,"-0.04 [-0.1, 0.01]",0.03,-1.51,0.13,adjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.03 [-0.05, -0.01]",0.01,-2.85,0.004,adjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.02 [-0.03, 0]",0.01,-1.83,0.067,adjusted
cholestnonhdl_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.06, -0.01]",0.01,-2.99,0.003,adjusted
cholestnonhdl_w6.5,accsed_w6.5_scaled,"0.01 [-0.01, 0.04]",0.01,0.91,0.36,adjusted
glucose_w6.5,st_intercept,"-0.03 [-0.1, 0.03]",0.03,-1.05,0.29,unadjusted
glucose_w6.5,st_slope,"-0.02 [-0.24, 0.19]",0.11,-0.23,0.82,unadjusted
glucose_w6.5,female,"-0.05 [-0.12, 0.01]",0.03,-1.52,0.13,unadjusted
glucose_w6.5,indig,"-0.07 [-0.39, 0.24]",0.16,-0.45,0.65,unadjusted
glucose_w6.5,ses_w6,"-0.01 [-0.05, 0.02]",0.02,-0.83,0.41,unadjusted
glucose_w6.5,bad_diet,"-0.04 [-0.12, 0.05]",0.04,-0.82,0.41,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.02]",0.02,-0.63,0.53,unadjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.04]",0.01,-5.01,< 0.001,unadjusted
glucose_w6.5,st_intercept,"-0.02 [-0.1, 0.06]",0.04,-0.47,0.64,adjusted
glucose_w6.5,st_slope,"0.06 [-0.27, 0.38]",0.17,0.34,0.73,adjusted
glucose_w6.5,female,"0 [-0.09, 0.08]",0.04,-0.1,0.92,adjusted
glucose_w6.5,indig,"-0.03 [-0.44, 0.38]",0.21,-0.15,0.88,adjusted
glucose_w6.5,ses_w6,"0 [-0.04, 0.05]",0.02,0.11,0.91,adjusted
glucose_w6.5,bad_diet,"-0.04 [-0.14, 0.06]",0.05,-0.75,0.46,adjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.05, 0.03]",0.02,-0.43,0.66,adjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.09, -0.03]",0.02,-3.99,< 0.001,adjusted
glucose_w6.5,accmvpa_w6.5_scaled,"0.03 [-0.02, 0.07]",0.02,1.13,0.26,adjusted
glucose_w6.5,accsed_w6.5_scaled,"0.01 [-0.04, 0.05]",0.02,0.26,0.80,adjusted
