Outcome,Term,Coef,SE,t,p,type
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.04]",0.01,-5.59,< 0.001,unadjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [0, 0.03]",0.01,1.38,0.17,unadjusted
cholesttotalhdl_w6.5,(Intercept),"1.45 [1.33, 1.57]",0.06,23.33,< 0.001,adjusted
cholesttotalhdl_w6.5,st_latez,"0 [-0.03, 0.02]",0.01,-0.42,0.68,adjusted
cholesttotalhdl_w6.5,female,"0.02 [-0.03, 0.07]",0.02,0.91,0.37,adjusted
cholesttotalhdl_w6.5,indig,"-0.12 [-0.35, 0.12]",0.12,-0.99,0.32,adjusted
cholesttotalhdl_w6.5,ses_w6,"0.01 [-0.01, 0.04]",0.01,1.1,0.27,adjusted
cholesttotalhdl_w6.5,bad_diet,"0.01 [-0.08, 0.09]",0.04,0.12,0.90,adjusted
cholesttotalhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.05 [-0.07, -0.03]",0.01,-4.1,< 0.001,adjusted
cholesttotalhdl_w6.5,fastingtime_w6.5,"0.01 [0, 0.03]",0.01,1.44,0.15,adjusted
cholesttotalhdl_w6.5,accmvpa_w6.5_scaled,"0.04 [0.02, 0.07]",0.01,3.22,0.001,adjusted
cholesttotalhdl_w6.5,accsed_w6.5_scaled,"-0.01 [-0.04, 0.02]",0.01,-0.69,0.49,adjusted
cholestnonhdl_w6.5,(Intercept),"1.04 [0.94, 1.14]",0.05,19.99,< 0.001,unadjusted
cholestnonhdl_w6.5,st_latez,"-0.01 [-0.02, 0.01]",0.01,-0.67,0.51,unadjusted
cholestnonhdl_w6.5,female,"0.07 [0.04, 0.11]",0.02,3.86,< 0.001,unadjusted
cholestnonhdl_w6.5,indig,"0.01 [-0.17, 0.19]",0.09,0.12,0.91,unadjusted
cholestnonhdl_w6.5,ses_w6,"-0.01 [-0.03, 0.01]",0.01,-0.95,0.34,unadjusted
cholestnonhdl_w6.5,bad_diet,"-0.01 [-0.09, 0.06]",0.04,-0.39,0.70,unadjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.04, 0]",0.01,-2.3,0.022,unadjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.01 [-0.02, 0.01]",0.01,-1.2,0.23,unadjusted
cholestnonhdl_w6.5,(Intercept),"1.08 [0.95, 1.2]",0.06,17.37,< 0.001,adjusted
cholestnonhdl_w6.5,st_latez,"-0.01 [-0.03, 0.01]",0.01,-0.71,0.48,adjusted
cholestnonhdl_w6.5,female,"0.06 [0.02, 0.11]",0.02,2.6,0.010,adjusted
cholestnonhdl_w6.5,indig,"-0.09 [-0.33, 0.14]",0.12,-0.8,0.42,adjusted
cholestnonhdl_w6.5,ses_w6,"-0.02 [-0.04, 0]",0.01,-1.64,0.10,adjusted
cholestnonhdl_w6.5,bad_diet,"0.02 [-0.06, 0.11]",0.04,0.57,0.57,adjusted
cholestnonhdl_w6.5,sexualmaturity_numeric_w6.5,"-0.04 [-0.06, -0.01]",0.01,-3.06,0.002,adjusted
cholestnonhdl_w6.5,fastingtime_w6.5,"-0.02 [-0.03, 0]",0.01,-1.79,0.074,adjusted
cholestnonhdl_w6.5,accmvpa_w6.5_scaled,"-0.04 [-0.07, -0.02]",0.01,-3.27,0.001,adjusted
cholestnonhdl_w6.5,accsed_w6.5_scaled,"0 [-0.02, 0.03]",0.01,0.34,0.74,adjusted
glucose_w6.5,(Intercept),"5.13 [4.95, 5.31]",0.09,55.65,< 0.001,unadjusted
glucose_w6.5,st_latez,"-0.02 [-0.05, 0.01]",0.02,-1.23,0.22,unadjusted
glucose_w6.5,female,"-0.04 [-0.11, 0.03]",0.03,-1.21,0.23,unadjusted
glucose_w6.5,indig,"-0.09 [-0.41, 0.23]",0.16,-0.53,0.60,unadjusted
glucose_w6.5,ses_w6,"-0.01 [-0.05, 0.02]",0.02,-0.75,0.45,unadjusted
glucose_w6.5,bad_diet,"0.09 [-0.04, 0.22]",0.07,1.36,0.17,unadjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.04, 0.02]",0.02,-0.7,0.48,unadjusted
glucose_w6.5,fastingtime_w6.5,"-0.07 [-0.09, -0.04]",0.01,-4.9,< 0.001,unadjusted
glucose_w6.5,(Intercept),"5.13 [4.9, 5.35]",0.11,45.25,< 0.001,adjusted
glucose_w6.5,st_latez,"0 [-0.04, 0.04]",0.02,0.1,0.92,adjusted
glucose_w6.5,female,"-0.01 [-0.09, 0.08]",0.04,-0.15,0.88,adjusted
glucose_w6.5,indig,"-0.05 [-0.47, 0.37]",0.21,-0.25,0.80,adjusted
glucose_w6.5,ses_w6,"0.01 [-0.04, 0.05]",0.02,0.28,0.78,adjusted
glucose_w6.5,bad_diet,"0.04 [-0.11, 0.2]",0.08,0.55,0.58,adjusted
glucose_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.05, 0.03]",0.02,-0.45,0.65,adjusted
glucose_w6.5,fastingtime_w6.5,"-0.06 [-0.1, -0.03]",0.02,-3.97,< 0.001,adjusted
glucose_w6.5,accmvpa_w6.5_scaled,"0.02 [-0.03, 0.07]",0.02,0.76,0.45,adjusted
glucose_w6.5,accsed_w6.5_scaled,"0 [-0.05, 0.05]",0.02,-0.05,0.96,adjusted
