Outcome,Term,Coef,SE,t,p,type
glycoprotein_w6.5,fastingtime_w6.5,"0 [-0.01, 0]",0,-1.26,0.21,adjusted
glycoprotein_w6.5,accmvpa_w6.5_scaled,"-0.02 [-0.03, -0.01]",0.01,-3.92,< 0.001,adjusted
glycoprotein_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0.01]",0.01,-0.26,0.79,adjusted
phospholipids_w6.5,(Intercept),"0.43 [0.39, 0.48]",0.02,18.15,< 0.001,unadjusted
phospholipids_w6.5,st_latez,"-0.01 [-0.02, 0]",0,-2.71,0.007,unadjusted
phospholipids_w6.5,female,"-0.01 [-0.02, 0.01]",0.01,-0.76,0.45,unadjusted
phospholipids_w6.5,indig,"0 [-0.08, 0.09]",0.04,0.02,0.98,unadjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.01]",0,1.26,0.21,unadjusted
phospholipids_w6.5,bad_diet,"0.01 [-0.03, 0.04]",0.02,0.47,0.64,unadjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0,-4.37,< 0.001,unadjusted
phospholipids_w6.5,fastingtime_w6.5,"0.01 [0, 0.01]",0,1.44,0.15,unadjusted
phospholipids_w6.5,(Intercept),"0.42 [0.36, 0.47]",0.03,14.84,< 0.001,adjusted
phospholipids_w6.5,st_latez,"0 [-0.01, 0.01]",0.01,-0.92,0.36,adjusted
phospholipids_w6.5,female,"0.01 [-0.01, 0.03]",0.01,0.66,0.51,adjusted
phospholipids_w6.5,indig,"-0.05 [-0.15, 0.06]",0.05,-0.89,0.37,adjusted
phospholipids_w6.5,ses_w6,"0.01 [0, 0.02]",0.01,1.5,0.13,adjusted
phospholipids_w6.5,bad_diet,"0 [-0.04, 0.04]",0.02,0.14,0.89,adjusted
phospholipids_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.03, -0.01]",0.01,-3.07,0.002,adjusted
phospholipids_w6.5,fastingtime_w6.5,"0 [0, 0.01]",0,1.19,0.24,adjusted
phospholipids_w6.5,accmvpa_w6.5_scaled,"0.02 [0.01, 0.03]",0.01,3.1,0.002,adjusted
phospholipids_w6.5,accsed_w6.5_scaled,"-0.01 [-0.02, 0.01]",0.01,-0.89,0.38,adjusted
vo2_w6.5,(Intercept),"56.49 [53.68, 59.29]",1.43,39.52,< 0.001,unadjusted
vo2_w6.5,st_latez,"-1.21 [-1.78, -0.63]",0.29,-4.13,< 0.001,unadjusted
vo2_w6.5,female,"-4.81 [-6.06, -3.55]",0.64,-7.5,< 0.001,unadjusted
vo2_w6.5,indig,"-2.2 [-7.25, 2.84]",2.57,-0.86,0.39,unadjusted
vo2_w6.5,ses_w6,"0.4 [-0.21, 1.01]",0.31,1.28,0.20,unadjusted
vo2_w6.5,bad_diet,"-2.49 [-4.97, -0.01]",1.26,-1.97,0.049,unadjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-1.35 [-1.98, -0.72]",0.32,-4.2,< 0.001,unadjusted
vo2_w6.5,(Intercept),"53.78 [50.59, 56.97]",1.62,33.1,< 0.001,adjusted
